number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
424,0.0026497507717337925,0.09391143587490232,2026-03-13 14:54:48.652205,2026-03-13 14:54:49.594212,0 days 00:00:00.942007,4.234574450967509,0.5401037936171467,48.155207650464,52.376587511836526,4.365927590697451,5.38643959047354,4.373819869128801,3.284093955361284e-07,1.8061435766840572e-17,7.646499677157575e-17,1.1077649290620279e-07,-16.07977690758002,7.0,,COMPLETE
425,0.05074863342551057,0.04259368604395293,2026-03-13 14:54:49.595208,2026-03-13 14:54:50.652056,0 days 00:00:01.056848,4.402900283583998,0.5471841331670136,48.70605605891457,53.21880111861873,4.221854330954056,5.484405395084121,4.463954951850335,3.2835793145306333e-07,1.4493988786339865e-16,2.7805771527607335e-15,1.2985549458248027e-07,-14.196334414657654,7.0,,COMPLETE
426,0.004849142343954605,0.06925811301406506,2026-03-13 14:54:50.653053,2026-03-13 14:54:51.729561,0 days 00:00:01.076508,4.343216746143678,0.5011623881960187,48.358470156687716,53.400752427809564,4.2191439247585825,5.346195340894862,4.379893069985596,3.294734456846962e-07,1.8061435766840572e-17,2.88842348473924e-17,8.518510438917664e-08,-14.677758735692152,7.0,,COMPLETE
427,0.0031661206822401282,0.2984883743413057,2026-03-13 14:54:51.730561,2026-03-13 14:54:52.766331,0 days 00:00:01.035770,4.241642795065647,0.5515635972482404,48.358470156687716,52.01090378662589,4.389703372698119,5.449658964324548,4.340750260243717,3.2774010524773464e-07,1.8061435766840572e-17,7.722527698200973e-15,8.435530579621433e-08,-16.07977690758002,7.0,,COMPLETE
428,0.032861189398091344,0.089644075074771,2026-03-13 14:54:52.767328,2026-03-13 14:54:53.932270,0 days 00:00:01.164942,4.402900283583998,0.5515635972482404,46.815734235050996,51.78497204377082,4.359543521558283,5.357176178834748,4.234252471400281,3.2410897547129707e-07,1.4493988786339865e-16,5.225070196214357e-17,2.5664113495585164e-08,-16.057910787797745,7.0,,COMPLETE
429,0.007020012598891232,0.2798683558120752,2026-03-13 14:54:53.932270,2026-03-13 14:54:55.105812,0 days 00:00:01.173542,4.241642795065647,0.7032389319205351,48.03279107607236,53.96092577381798,4.397246704596115,5.357176178834748,4.379893069985596,3.309122318058947e-07,1.8061435766840572e-17,3.103829978204093e-17,1.711559003147837e-08,-16.129905096408926,7.0,,COMPLETE
430,0.06634102873286292,0.04330169520345056,2026-03-13 14:54:55.106798,2026-03-13 14:54:56.090862,0 days 00:00:00.984064,4.234574450967509,0.5011623881960187,47.94554590074915,51.10107201161464,4.363814387881665,5.495593258470635,4.38396585768342,3.2430109454609004e-07,1.3535790747321685e-15,5.225070196214357e-17,3.24302842786329e-08,-14.038561164341335,7.0,,COMPLETE
431,0.009457681164384403,0.20736419422911923,2026-03-13 14:54:56.091858,2026-03-13 14:54:57.185641,0 days 00:00:01.093783,4.402900283583998,0.5471841331670136,46.815734235050996,51.78497204377082,4.359543521558283,5.495593258470635,4.463954951850335,3.2430109454609004e-07,1.4493988786339865e-16,2.7805771527607335e-15,1.0902655424354349e-08,-14.196334414657654,7.0,,COMPLETE
432,0.007550663771946997,0.21860341388741905,2026-03-13 14:54:57.186638,2026-03-13 14:54:58.163346,0 days 00:00:00.976708,4.317472661333562,0.5973534354330223,48.67972957341704,51.892434973275236,4.362221235614405,5.38643959047354,4.2564682275853,3.2774010524773464e-07,1.1168869378003539e-17,3.103829978204093e-17,3.616350289865209e-07,-16.07977690758002,7.0,,COMPLETE
433,0.0033551823036676973,0.2905108456042809,2026-03-13 14:54:58.164393,2026-03-13 14:54:59.260472,0 days 00:00:01.096079,4.279898652480756,0.9028773071328418,48.516160104903676,53.78798127766993,4.355348002553498,5.235296044529069,4.209167598691573,3.284093955361284e-07,5.238276409945e-15,7.722527698200973e-15,1.2985549458248027e-07,-15.79053503323124,7.0,,COMPLETE
