# V, J(A/m2)
7.475808830278770634e-01,4.886562728881835938e+01
7.850727794543244098e-01,5.244027328491210938e+01
8.244449303516435679e-01,5.622823333740234375e+01
8.657916322802170495e-01,6.009165191650390625e+01
9.092119108631356861e-01,6.459941101074218750e+01
9.548097579532167645e-01,6.929183197021484375e+01
1.002694380694176379e+00,7.458499145507812500e+01
1.052980463072455963e+00,8.029948425292968750e+01
1.105788440586125132e+00,8.570543670654296875e+01
1.161244788688691187e+00,9.199219512939453125e+01
1.219482325698642011e+00,9.932774353027343750e+01
1.280640530900194252e+00,1.063829727172851562e+02
1.344865878597093944e+00,1.144267501831054688e+02
1.412312188919538469e+00,1.226891784667968750e+02
1.483140996224401098e+00,1.340558319091796875e+02
1.557521935971076799e+00,1.447127075195312500e+02
1.635633150999524554e+00,1.550173645019531250e+02
1.717661718183540076e+00,1.671422119140625000e+02
1.803804096481099517e+00,1.794207305908203125e+02
1.894266597454855594e+00,1.931166076660156250e+02
1.989265879389688019e+00,2.075406341552734375e+02
2.089029466190718942e+00,2.234119873046875000e+02
2.193796292304567519e+00,2.491618347167968750e+02
2.303817274968914308e+00,2.674172058105468750e+02
2.419355915160939841e+00,2.905982360839843750e+02
2.540688928683898506e+00,3.138731994628906250e+02
2.668106908903285834e+00,3.408822937011718750e+02
2.801915022719862147e+00,3.661991577148437500e+02
2.942433741446385032e+00,3.985128173828125000e+02
