number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_E_v,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
254,0.06395465371245025,0.08637314287399793,2026-03-19 21:29:32.155820,2026-03-19 21:29:33.759494,0 days 00:00:01.603674,4.319317692943553,5.461123537494705,0.57,48.40830545410283,51.92160066737277,4.388114325381594,0.1385209548403867,4.200000043430672,3.28e-07,5.351209735926775e-15,2.0000000000000017e-17,2.3795477341450494e-08,-18.086036366808216,3,,COMPLETE
255,0.026703771125625112,0.15084270622554383,2026-03-19 21:29:33.760491,2026-03-19 21:29:34.938577,0 days 00:00:01.178086,4.2896184817788905,5.456853027108453,0.6027730447351021,49.09144350481227,52.47526554884281,4.381119018992183,0.20262683143865845,4.279384208286863,3.29370605436416e-07,3.012382076275439e-17,8.120410526728592e-16,2.887095249334018e-07,-14.09008871289361,3,,COMPLETE
256,0.0217076037563659,0.9457632753519984,2026-03-19 21:29:34.939575,2026-03-19 21:29:36.205371,0 days 00:00:01.265796,4.319317692943553,5.461123537494705,0.9796047392789259,46.200887136795,51.76880910273452,4.379017340041488,0.0,4.200000043430672,3.28e-07,1.0427271680244793e-18,2.122163529962698e-18,3.0000000000000015e-07,-15.82986621243128,3,,COMPLETE
257,0.028066628663583233,0.26269349679320375,2026-03-19 21:29:36.206370,2026-03-19 21:29:37.671505,0 days 00:00:01.465135,4.405287703676996,5.384084438221923,0.6027730447351021,49.09144350481227,52.47526554884281,4.2806985693121815,0.20262683143865845,4.249754159238055,3.288047973099024e-07,3.012382076275439e-17,8.120410526728592e-16,2.887095249334018e-07,-14.09008871289361,3,,COMPLETE
258,0.029754799359912487,0.15181718527003787,2026-03-19 21:29:37.673499,2026-03-19 21:29:39.310082,0 days 00:00:01.636583,4.230174928046367,5.468936604792058,0.6027730447351021,48.14132427045731,52.47526554884281,4.31717692382534,0.19183253250855914,4.288806446987535,3.2958583253702984e-07,1.2909151900922188e-17,1.0012362898446848e-18,1.401517517905463e-08,-15.543737237520705,3,,COMPLETE
259,0.007860364223848898,0.5828440292199993,2026-03-19 21:29:39.311076,2026-03-19 21:29:40.572887,0 days 00:00:01.261811,4.318470229328691,5.450920596252912,0.7617171779107199,48.40830545410283,53.24357663931989,4.287879233956659,0.001794598390525459,4.223927318064577,3.28e-07,3.012382076275439e-17,1.0012362898446848e-18,8.958036117837931e-08,-15.469268654277602,4,,COMPLETE
260,0.007086313796572844,0.8677947820948047,2026-03-19 21:29:40.574879,2026-03-19 21:29:41.882045,0 days 00:00:01.307166,4.319317692943553,5.453576746965657,0.9723542126106088,48.40830545410283,53.16533645321453,4.3654239533808585,0.1385209548403867,4.200000043430672,3.285691998530928e-07,1.0000000000000014e-18,2.0000000000000017e-17,3.0000000000000015e-07,-15.82986621243128,4,,COMPLETE
261,0.03665098262788885,0.11370402314251282,2026-03-19 21:29:41.884038,2026-03-19 21:29:43.193690,0 days 00:00:01.309652,4.230174928046367,5.456853027108453,0.6127583995625991,49.09144350481227,54.06389256657432,4.362478392556494,0.04439810575453675,4.244081571429584,3.29370605436416e-07,3.012382076275439e-17,7.278409094593277e-16,8.016219822808743e-08,-16.519649175902625,4,,COMPLETE
262,,,2026-03-19 21:29:43.194686,2026-03-19 21:29:43.274420,0 days 00:00:00.079734,4.461389710384746,5.391516499246786,0.6027730447351021,48.14132427045731,52.47526554884281,4.41547464996025,0.0,4.244081571429584,3.29370605436416e-07,3.012382076275439e-17,2.0000000000000017e-17,8.016219822808743e-08,-15.896159196151439,4,,PRUNED
263,0.02680741601922842,0.714466427439334,2026-03-19 21:29:43.275417,2026-03-19 21:29:44.652846,0 days 00:00:01.377429,4.228569930482258,5.461123537494705,0.894590685148065,47.40579182949398,54.28184644801791,4.289752481900417,0.0,4.31044456967978,3.3111952124065384e-07,3.424394212420533e-15,6.133336401824595e-17,3.0665186426398115e-07,-17.62290531138971,4,,COMPLETE
264,0.0015424295905973483,0.16668103351643057,2026-03-19 21:29:44.653840,2026-03-19 21:29:45.970487,0 days 00:00:01.316647,4.228569930482258,5.462262024503001,0.57,48.40830545410283,50.656872099270345,4.362478392556494,0.0,4.200000043430672,3.28e-07,1e-18,2e-17,3e-07,-16.354444994345954,4,,COMPLETE
265,0.041331120528361694,0.07732776183500495,2026-03-19 21:29:45.971485,2026-03-19 21:29:47.398597,0 days 00:00:01.427112,4.267714831225531,5.391516499246786,0.5282255481925329,48.40830545410283,51.92160066737277,4.388114325381594,0.0,4.272984229626048,3.28e-07,1.0427271680244793e-18,2.0000000000000017e-17,2.4095785601250737e-08,-17.498017643910664,4,,COMPLETE
266,0.01920109346508117,0.1523180684730852,2026-03-19 21:29:47.399600,2026-03-19 21:29:48.643616,0 days 00:00:01.244016,4.228569930482258,5.391516499246786,0.6027730447351021,48.87284897349803,51.0877543582062,4.362478392556494,0.0,4.244081571429584,3.29370605436416e-07,3.012382076275439e-17,1.194648300265504e-16,8.016219822808743e-08,-15.117300684957254,4,,COMPLETE
267,0.07192324019318351,0.04569412129937088,2026-03-19 21:29:48.645609,2026-03-19 21:29:49.897451,0 days 00:00:01.251842,4.318470229328691,5.450920596252912,0.5218002027235429,49.043557213351974,55.04229064867009,4.379017340041488,0.07133102959515804,4.458375591566238,3.318023860686569e-07,8.681442506183188e-18,2.0000000000000017e-17,3.0000000000000015e-07,-15.053807940147776,4,,COMPLETE
268,0.0149024885126023,0.08483832190068048,2026-03-19 21:29:49.899445,2026-03-19 21:29:51.169242,0 days 00:00:01.269797,4.228569930482258,5.462262024503001,0.57,46.69798531351769,50.656872099270345,4.362478392556494,0.24311548268541233,4.200000043430672,3.28e-07,5.351209735926775e-15,2.0000000000000017e-17,3.0000000000000015e-07,-16.354444994345954,4,,COMPLETE
269,0.012928739547247636,0.025409161773893133,2026-03-19 21:29:51.170239,2026-03-19 21:29:52.379223,0 days 00:00:01.208984,4.267714831225531,5.468936604792058,0.5282255481925329,48.40830545410283,51.92160066737277,4.388114325381594,0.19183253250855914,4.43294945494321,3.2466300872574805e-07,7.546229783695509e-17,2.0000000000000017e-17,6.690676032737693e-07,-15.543737237520705,4,,COMPLETE
