number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
38,0.060606429775082314,0.45568387468626437,2026-03-19 21:58:15.978954,2026-03-19 21:58:17.060346,0 days 00:00:01.081392,4.320282235001107,0.7330584733865182,46.66514328754516,52.373479484449014,4.3994642115142595,5.3903298131624515,4.3967490286899125,3.304182692624936e-07,1.6408353963651548e-16,1.0179444538731804e-15,1.9504021874634003e-08,-18.00197473582482,0.0,,COMPLETE
39,,,2026-03-19 21:58:17.061341,2026-03-19 21:58:17.127121,0 days 00:00:00.065780,4.252511903123271,0.7102272443752136,49.41819125851078,54.876259565045906,4.310710254560246,5.333918325226528,4.430440275980845,3.313032952818404e-07,9.976222089688967e-15,2.5232609268733393e-15,5.556025927948296e-08,-17.167911744953702,0.0,,PRUNED
40,,,2026-03-19 21:58:17.128117,2026-03-19 21:58:17.189912,0 days 00:00:00.061795,4.429246268676133,0.7966689550528985,49.89221824875929,52.19608680036684,4.465983564901916,5.203198394881181,4.319804005622896,3.2722402048275093e-07,7.356989400242193e-16,1.116392626653305e-16,6.47685264761139e-08,-16.053700799371533,0.0,,PRUNED
41,,,2026-03-19 21:58:17.191909,2026-03-19 21:58:17.246721,0 days 00:00:00.054812,4.252263036238744,0.5304450268304595,49.95519066877899,54.086308344200944,4.492557491019878,5.19862854504816,4.309559314312541,3.2513848646473063e-07,1.799727512715963e-15,2.3452037341775943e-18,8.118678881465086e-07,-17.039446321930267,0.0,,PRUNED
42,,,2026-03-19 21:58:17.247718,2026-03-19 21:58:17.299544,0 days 00:00:00.051826,4.4176314314079805,0.6621871385930738,47.54237638626137,55.07504756433529,4.290797043211308,5.266471322805824,4.481211949555277,3.2414017150446257e-07,3.4694528869516587e-15,3.748333783021387e-16,4.399672035171139e-07,-14.253085218640503,0.0,,PRUNED
43,0.036008913932196775,0.4872223715331047,2026-03-19 21:58:17.300541,2026-03-19 21:58:18.398357,0 days 00:00:01.097816,4.241484744747504,0.7112017675205444,47.25880391618945,51.03615220578944,4.208763239688663,5.367167429389212,4.210467228715776,3.3138357206049936e-07,8.27468582146666e-18,1.2947365399779132e-17,1.3062882999664902e-07,-15.729597136864843,0.0,,COMPLETE
44,0.034309725262288385,0.4240818838464362,2026-03-19 21:58:18.399354,2026-03-19 21:58:19.123853,0 days 00:00:00.724499,4.297339615504371,0.6821842650024346,47.18568293489521,52.36093555075162,4.2090625525928775,5.327756644885224,4.352594186166992,3.265566517791798e-07,9.92478662217743e-18,9.039796521319154e-18,1.0743634473081231e-07,-15.47351929485149,0.0,,COMPLETE
45,,,2026-03-19 21:58:19.124850,2026-03-19 21:58:19.171692,0 days 00:00:00.046842,4.422133959817156,0.5520934300392126,50.64008543896598,53.47997299203869,4.374323865977208,5.3463256650122615,4.313001622565604,3.2786903494817765e-07,1.8174649419258734e-16,4.650726374069796e-17,1.1241073651280582e-07,-16.605762436734018,0.0,,PRUNED
46,0.040803611959927925,0.3869454008916273,2026-03-19 21:58:19.173686,2026-03-19 21:58:20.014879,0 days 00:00:00.841193,4.247793418264675,0.6733692808163573,47.83878619409013,52.8283543285166,4.273620127353562,5.3928608120761785,4.231587393496066,3.282734831680811e-07,3.056493409407748e-17,7.50487996968445e-17,6.152981888477643e-07,-15.371602660172949,0.0,,COMPLETE
47,0.07057337973448542,0.22483096208494263,2026-03-19 21:58:20.016872,2026-03-19 21:58:21.289649,0 days 00:00:01.272777,4.462015708907836,0.8476448896038088,46.39434626946064,50.71259539588889,4.305527568130585,5.32701999676315,4.37494388434283,3.287681887453248e-07,2.656885911007843e-16,5.7301928361356485e-15,1.099985660241241e-07,-16.576087072459163,0.0,,COMPLETE
48,,,2026-03-19 21:58:21.290646,2026-03-19 21:58:21.350240,0 days 00:00:00.059594,4.425292726582729,0.8582454020865093,48.55704391114419,51.85069513694199,4.418579793118706,5.253641356977764,4.407620651481083,3.2870825668139e-07,1.3206749829583096e-18,7.39589243195709e-16,1.0839955051860162e-08,-18.284696498759388,0.0,,PRUNED
49,,,2026-03-19 21:58:21.350240,2026-03-19 21:58:21.407050,0 days 00:00:00.056810,4.403004061903371,0.9246298050721182,50.342819818060484,52.89030151753911,4.39763107306371,5.192717426832879,4.362747531365548,3.2777207630680353e-07,3.210534774595055e-15,3.202997169040162e-16,5.005673695043385e-07,-16.43007193498721,0.0,,PRUNED
50,0.007549502583665867,0.2370744411920601,2026-03-19 21:58:21.408047,2026-03-19 21:58:22.195418,0 days 00:00:00.787371,4.375521162426304,0.5433129781054675,46.480211124150095,53.09055696465307,4.491156599079167,5.238165463791126,4.388092582112889,3.2573779979350297e-07,1.406124626933134e-17,2.1401011172288768e-15,7.705529179635067e-08,-13.96050843904765,0.0,,COMPLETE
51,0.026336486002475946,0.12135389652193898,2026-03-19 21:58:22.195418,2026-03-19 21:58:22.899067,0 days 00:00:00.703649,4.30913410908997,0.601216928255781,46.769703010385385,52.987372168762015,4.267356311453946,5.398311917863539,4.2709358615734585,3.2842639463690676e-07,4.81086942381317e-16,2.5405192905128083e-15,5.587403476028849e-07,-15.569924678165398,0.0,,COMPLETE
52,,,2026-03-19 21:58:22.899067,2026-03-19 21:58:22.945912,0 days 00:00:00.046845,4.440167770170017,0.9400806387626581,49.28368708422206,52.005837992936925,4.213234071684007,5.110444152241697,4.435647440897965,3.2616446463661387e-07,3.2855245152982475e-17,3.489420848268086e-15,2.3715087889380638e-07,-16.840716163382698,0.0,,PRUNED
53,0.08654250252160918,0.35895165201702345,2026-03-19 21:58:22.946909,2026-03-19 21:58:23.940591,0 days 00:00:00.993682,4.3636445210036765,0.9983176778524554,46.24469667569832,54.70280696478924,4.314718601802356,5.388326103885672,4.358699854601198,3.298393233423532e-07,8.274976273228022e-18,5.2729406665520585e-15,8.030655231614427e-07,-16.388990378941813,0.0,,COMPLETE
54,0.03770973617157595,0.13235203989579702,2026-03-19 21:58:23.941588,2026-03-19 21:58:25.016997,0 days 00:00:01.075409,4.43334299407968,0.5888510822379582,48.24911164631373,50.68017003237552,4.366744887226646,5.213377189316188,4.419307583669083,3.27128869097697e-07,1.0094993824643633e-18,6.598220645041091e-17,7.214976837952238e-08,-15.552154220866445,0.0,,COMPLETE
55,0.027796289416775494,0.8474039811469171,2026-03-19 21:58:25.017993,2026-03-19 21:58:26.242903,0 days 00:00:01.224910,4.440773108168162,0.9553018996848384,48.961549205654784,51.22516693922275,4.445299974443792,5.102181769516057,4.225618630495927,3.276057184275111e-07,1.0319376125389584e-18,8.843376855498264e-18,8.146743173489208e-07,-13.856484457603171,0.0,,COMPLETE
56,,,2026-03-19 21:58:26.243905,2026-03-19 21:58:26.298303,0 days 00:00:00.054398,4.286739477402132,0.699082363067919,50.33116006529926,53.22301552344023,4.3144129333967465,5.27276157580589,4.2766873461819355,3.2526187812581946e-07,1.8336037436492116e-16,1.9637697838549095e-18,2.7447955772078043e-08,-15.215213456640676,0.0,,PRUNED
57,,,2026-03-19 21:58:26.299300,2026-03-19 21:58:26.358103,0 days 00:00:00.058803,4.4064838089132925,0.8402291132653628,46.61622911579964,53.00950959158868,4.4967252112805305,5.146181199677092,4.209970653990822,3.274995854714207e-07,2.470124368533387e-15,7.386988458747548e-18,7.939262737556791e-08,-17.979706303851483,0.0,,PRUNED
58,0.014333055477995842,0.4270998518023672,2026-03-19 21:58:26.359101,2026-03-19 21:58:27.670482,0 days 00:00:01.311381,4.389828134207216,0.7828318157346126,47.65542334256799,51.206527855401816,4.25963922466317,5.135644184658847,4.251766952033205,3.271690059295159e-07,8.46022312657318e-15,5.632875053006086e-17,2.4821052998108398e-08,-16.257906592430054,0.0,,COMPLETE
59,0.027259251633034692,0.2738307924639493,2026-03-19 21:58:27.672475,2026-03-19 21:58:28.663166,0 days 00:00:00.990691,4.260240236260913,0.6706074495103573,48.96185519424943,51.1279264422816,4.387621881615525,5.286524167039672,4.230085489159517,3.2880408766284297e-07,1.93671111652583e-16,1.8670237773959283e-17,1.3344965266016385e-07,-16.346462684001423,0.0,,COMPLETE
60,0.01118502560316643,0.1769107210746066,2026-03-19 21:58:28.664162,2026-03-19 21:58:29.965815,0 days 00:00:01.301653,4.321304372819622,0.6322623327137724,46.10538423006219,55.032178476374284,4.438876652740623,5.396313422137967,4.270103754062699,3.2891774733389275e-07,5.755749829284351e-16,1.2304158963983748e-15,4.349056049904758e-08,-14.855550732748622,0.0,,COMPLETE
61,,,2026-03-19 21:58:29.966812,2026-03-19 21:58:30.026613,0 days 00:00:00.059801,4.412803648695278,0.8903545200406416,49.87535080498735,51.72938622388843,4.2485102009360665,5.214627460426196,4.347454531986733,3.3028748915725683e-07,2.356061282674556e-16,1.5459685593262564e-16,6.656411520023424e-08,-16.341746551054822,0.0,,PRUNED
62,,,2026-03-19 21:58:30.027609,2026-03-19 21:58:30.090400,0 days 00:00:00.062791,4.390110499829977,0.5584750785516306,46.83032440590422,54.28576828117232,4.465236773389652,5.1508451905244135,4.434076208750955,3.2572854539432016e-07,9.148972137672566e-16,2.2180986612970665e-16,5.928674443296074e-08,-16.644884996962784,0.0,,PRUNED
63,0.01855260644289759,0.3395388439079937,2026-03-19 21:58:30.091396,2026-03-19 21:58:31.099032,0 days 00:00:01.007636,4.3306666270467185,0.6786685110030564,47.07080308674894,50.77352418142692,4.211850879874384,5.241950516945469,4.439696974595132,3.311988164831696e-07,2.996166764027243e-17,7.691249970792682e-17,2.1559476199565007e-07,-16.615594032415366,0.0,,COMPLETE
64,,,2026-03-19 21:58:31.100029,2026-03-19 21:58:31.156839,0 days 00:00:00.056810,4.4408223760088426,0.6564782489719074,49.477104198974075,54.625612393964246,4.351001645563287,5.177626672844224,4.35480595816697,3.279554253630693e-07,1.2739182935381468e-18,4.961141203386753e-15,1.3800282452031468e-07,-16.33922067560284,0.0,,PRUNED
65,0.06358243529224564,0.3417607456013508,2026-03-19 21:58:31.156839,2026-03-19 21:58:32.384322,0 days 00:00:01.227483,4.3206454529863265,0.9280825708038668,46.87084504945929,51.48533037714644,4.299987711653711,5.281121225147232,4.491304439910799,3.292554181490737e-07,2.993612945553446e-18,7.049955679191713e-17,1.2102800875066788e-08,-17.23246391981361,0.0,,COMPLETE
66,,,2026-03-19 21:58:32.385319,2026-03-19 21:58:32.463059,0 days 00:00:00.077740,4.402040690058645,0.7933283281856149,49.81344166756787,52.8960764056317,4.357813086955657,5.1572466441363005,4.41069901816367,3.245943325365237e-07,3.700882671290557e-17,5.328335420849528e-15,1.4737043718709579e-07,-15.472554911604286,0.0,,PRUNED
