number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
388,0.01399775625264055,0.0524914779939541,2026-03-12 15:35:44.436639,2026-03-12 15:35:45.443194,0 days 00:00:01.006555,4.296536232628637,0.535231751893722,48.65472061613823,53.71540247690643,4.335396210169529,5.35,4.406417600702706,2.1295752069339597e-07,3.8864797225107605e-15,2.513855911499944e-17,1.4108223554704215e-08,-16.354444994345954,6,,COMPLETE
389,,,2026-03-12 15:35:45.444190,2026-03-12 15:35:45.522730,0 days 00:00:00.078540,4.417798140270275,0.5,46.987312330798716,53.13106072585698,4.202816660393726,5.356143169780247,4.246110243628249,3.281233629740653e-07,2.9643030344420145e-15,2.0173038801124104e-17,1.4108223554704215e-08,-16.981103640181907,6,,PRUNED
390,0.029237344714854084,0.31728392775388475,2026-03-12 15:35:45.523737,2026-03-12 15:35:46.785642,0 days 00:00:01.261905,4.303801794729083,0.535231751893722,49.279936565151374,50.656872099270345,4.361475166398326,5.125736286496585,4.439812470306433,2.1295752069339597e-07,3.8864797225107605e-15,2.1955283715483104e-18,7.885876178579091e-08,-15.02755195765076,6,,COMPLETE
391,0.03901666818167694,0.037285598828381124,2026-03-12 15:35:46.786639,2026-03-12 15:35:48.135808,0 days 00:00:01.349169,4.250394629902042,0.5163190425246921,46.11039362572452,54.05025643304091,4.335396210169529,5.356143169780247,4.246110243628249,1.9369963358469942e-07,1.0684527493079727e-15,9.99999999999999e-18,1.4108223554704215e-08,-16.981103640181907,6,,COMPLETE
392,0.053991567927954794,0.10919422439166479,2026-03-12 15:35:48.136817,2026-03-12 15:35:48.932078,0 days 00:00:00.795261,4.228569930482258,0.5,48.40830545410283,50.656872099270345,4.362478392556494,5.35,4.380363941639306,3.281233629740653e-07,9.999999999999965e-17,9.99999999999999e-18,4.88986241575205e-07,-17.805324603885836,6,,COMPLETE
393,0.037189032948992264,0.176019355204776,2026-03-12 15:35:48.933075,2026-03-12 15:35:50.628424,0 days 00:00:01.695349,4.228569930482258,0.5,47.13297792394662,54.42186237732072,4.362478392556494,5.148470593576984,4.265808106916084,1.8145591772799374e-07,1.7656369344784767e-18,9.99999999999999e-18,6.647776404106543e-07,-17.100774688721234,6,,COMPLETE
394,0.012648286563380884,0.5394274115308445,2026-03-12 15:35:50.630420,2026-03-12 15:35:51.805365,0 days 00:00:01.174945,4.284616916561097,0.8616893876446436,49.71186683547153,55.14255986327722,4.247702280250982,5.148470593576984,4.37093886036678,1.5450092025349887e-07,1.1118085922600935e-16,5.124404427312979e-18,6.647776404106543e-07,-16.983290142110942,6,,COMPLETE
395,0.087566521024539,0.8323396076690255,2026-03-12 15:35:51.807358,2026-03-12 15:35:53.318252,0 days 00:00:01.510894,4.406125642923549,0.5840340468029441,48.40830545410283,54.60344436238412,4.371106537586851,5.35,4.401600420368074,1.9278142894669379e-07,7.78966338485797e-17,4.26451907900218e-18,4.88986241575205e-07,-16.354444994345954,6,,COMPLETE
396,0.05123792902791679,0.04815993798429407,2026-03-12 15:35:53.320243,2026-03-12 15:35:54.603808,0 days 00:00:01.283565,4.318520254510479,0.5163190425246921,49.279936565151374,54.22834444682094,4.202816660393726,5.356143169780247,4.291065355114606,1.1168704792579186e-07,8.18872176355259e-15,2.486954667796461e-17,2.1295998452733557e-07,-16.981103640181907,6,,COMPLETE
397,0.04820734903217225,0.24311215067534644,2026-03-12 15:35:54.605800,2026-03-12 15:35:56.066321,0 days 00:00:01.460521,4.250394629902042,0.535231751893722,46.34541339329376,53.71540247690643,4.362478392556494,5.15822501523692,4.342986729606545,3.281233629740653e-07,3.8864797225107605e-15,3.1755688563926773e-16,9.794500053354745e-07,-18.28000457060122,6,,COMPLETE
398,0.02690648695652062,0.11545880951838763,2026-03-12 15:35:56.068315,2026-03-12 15:35:56.864150,0 days 00:00:00.795835,4.264483437408266,0.5,48.40830545410283,53.11261916429354,4.362478392556494,5.182438439342875,4.360052100626563,2.3029640456168443e-07,6.0952760761306245e-15,9.99999999999999e-18,9.999999999999994e-08,-16.354444994345954,6,,COMPLETE
