W_R,G_frac,l1_k_dir,l1_C_n_bulk,l1_mu_p,error
5.352255735843462,0.5071135507972607,1.6726491756856097e-18,1e-18,1.771339818517801e-07,0.8252049142643265
5.349616225614765,0.5062137270119369,1e-18,1e-18,1.7860682313417902e-07,0.7124825077866278
5.346909276841787,0.5063641318773361,1e-18,2.5401603722975132e-18,1.7408455101746817e-07,0.7000037551421902
5.345501444723856,0.5058710373166954,1e-18,1e-18,1.7518951509700596e-07,0.6891564576275652
5.344723883307643,0.5053988507647288,1e-18,2.5728905299244035e-18,1.763681856959793e-07,0.7551278397700275
5.348662795549056,0.5072344277486248,1e-18,2.3736710021421284e-16,1.6913947576658932e-07,0.8329082702952785
5.342167976214938,0.5110826383236281,4.407166912428995e-18,1e-18,1.7379751357019202e-07,1.221525277148766
5.4,0.6028094041841792,1e-14,1e-18,1e-06,37.182393202646296
5.399955719721711,0.5094910620874639,1e-18,1e-18,8.294798272957377e-08,3.4140443503997413
5.4,0.5962317256442111,1e-18,1e-18,2.360298083519052e-08,19.9481927555545
5.3493059698297785,0.5066378894912172,1e-18,1e-18,1.6644142471190528e-07,0.7594821843891859
5.346995610610282,0.5049252236611238,1e-18,1e-18,1.707308403205015e-07,0.8323461007200267
5.1,0.5157310355333335,1e-18,1e-18,1e-06,26.3042374560839
5.350997291012141,0.5076995622163132,1e-18,1e-18,1.6933478356192542e-07,0.9629391378628137
5.344906260145258,0.5048153622643012,1e-18,1e-14,1.8253607493596057e-07,0.8315094519852655
5.4,0.5,1e-18,1e-18,1e-08,6.832045764628758
5.4,0.5343660869476428,1e-18,2.7922548380816817e-16,1e-08,6.578063869178986
5.255724728120598,0.5280750955248297,1e-18,1e-18,1e-08,6.969081825317689
5.318111344175602,0.5145976860195417,1e-18,1e-18,3.6639726943657994e-08,2.7678360961819686
5.343647540328119,0.5040198682962697,1e-18,1e-18,1.6371611407160274e-07,0.9885406577903902
5.336475379712524,0.5076758449297545,2.660612112871446e-18,1e-14,1.4186176392188834e-07,0.7677356609412904
5.2835333650532945,0.5470066440027603,1e-18,1e-14,5.2699959193698415e-08,7.121821136152122
5.3451657053004755,0.5067222103203868,3.920748839172573e-18,5.740551247556738e-18,1.4762773100482542e-07,0.6444704585267014
5.348174621389235,0.5063761048159935,4.774700022113109e-18,2.9687731365122495e-18,1.4729774180122087e-07,0.6136383642742942
5.351587002583119,0.5060245067939851,5.409904030394095e-18,1e-18,1.4800395102641122e-07,0.6047909874046279
5.35318430827516,0.505937761634557,5.7822802269465466e-18,9.819474414029002e-15,1.4937503664563305e-07,0.6003835984185321
5.355650315741631,0.5056945570203236,5.998639570083742e-18,4.6113900145620246e-17,1.5088761923703218e-07,0.6135214325157466
5.3508653903590515,0.5060906875518177,6.106105717302249e-18,1e-18,1.4711567353080949e-07,0.5856081905544736
5.347961659082869,0.5063269835405518,6.536942491490296e-18,1.4881511480735545e-15,1.4372129807382788e-07,0.5659710133299709
5.347276162019887,0.5063595353943781,7.097515351331801e-18,6.625868055082767e-18,1.3901317293379296e-07,0.5734921666905543
5.3469453713266875,0.5064431327594611,6.914081466424769e-18,3.533637775078866e-15,1.4109549502814778e-07,0.5551816800402609
5.353138572978482,0.5058064982008738,8.292915149195487e-18,4.8553599107402236e-18,1.3775764052855917e-07,0.6158660809018259
5.343506655688891,0.5066178417754235,7.066546614999067e-18,1.5624231657908048e-16,1.4711811484146706e-07,0.5356629149122599
5.4,0.5006710365934994,1.805503771537772e-17,1e-14,1.745880436523063e-07,1.7101939321481876
5.266727773887327,0.5237913944595984,1e-18,1e-18,8.007951921249295e-08,2.350775513636455
5.4,0.5637109535841467,1e-18,1e-18,1e-08,9.942675011360384
5.1,0.6809241239977024,1e-18,5.061328063425124e-16,1e-08,55.983445587614305
5.346513058936423,0.506435820783352,7.955257255986144e-18,6.081092225341086e-16,1.5509428221224111e-07,0.5173479739495661
5.4,0.5682026847533419,1.5120467346446664e-17,4.570234573285935e-16,1.655010314428953e-07,12.84842373159853
5.183335964761752,0.5627023790622246,1e-18,1.4375623649580223e-17,1e-06,21.324674516272886
5.4,0.7189189591892757,1e-14,4.612389291176398e-15,1e-08,76.61714848811073
5.346540130571942,0.506138931062586,8.299249264752832e-18,7.121532064260965e-15,1.5587433294628924e-07,0.542349493226804
5.347647545012469,0.5063305533169525,8.413222060478155e-18,1e-14,1.5613166646476644e-07,0.5151203221865318
5.347120126326967,0.5061658946894485,8.389784584935932e-18,1.8192079172529625e-18,1.591371204189308e-07,0.5360302421902257
5.3500537676414845,0.5062867287953448,8.672135046260398e-18,2.1446563284807015e-15,1.5974714016937367e-07,0.5117094518483589
5.1,1.0,1e-18,2.995972892800062e-15,1e-08,93.86378765126179
5.350634818589442,0.5061524902597183,8.703200258457127e-18,4.039492051452462e-15,1.5933034031099982e-07,0.5158442780706568
5.350102068350416,0.5061074634308441,8.764082392671865e-18,1e-18,1.606852755598599e-07,0.5342987652003724
5.346151549681489,0.5057600286029451,8.123236243227167e-18,1.9497864085924035e-16,1.573029923917719e-07,0.6067959787913283
5.353867723647343,0.5065901210118323,9.237830316992744e-18,1.1483373463556162e-16,1.5874347107101124e-07,0.5016671326423879
