x	G_ehp
1.274999999999999969e-07	5.222181999999999801e+26
1.287500000000000114e-07	5.090671000000000010e+26
1.299999999999999994e-07	4.965135000000000086e+26
1.312499999999999874e-07	4.845612000000000171e+26
1.325000000000000019e-07	4.732132000000000194e+26
1.337499999999999900e-07	4.624716999999999877e+26
1.350000000000000045e-07	4.523379999999999991e+26
1.362499999999999925e-07	4.428120999999999850e+26
1.375000000000000070e-07	4.338936999999999802e+26
1.387499999999999950e-07	4.255811000000000003e+26
1.400000000000000095e-07	4.178716000000000171e+26
1.412499999999999976e-07	4.107617999999999925e+26
1.425000000000000121e-07	4.042471999999999714e+26
1.437500000000000001e-07	3.983222000000000125e+26
1.449999999999999881e-07	3.929803000000000046e+26
1.462500000000000026e-07	3.882142000000000219e+26
1.474999999999999907e-07	3.840152999999999927e+26
1.487500000000000052e-07	3.803742999999999726e+26
1.499999999999999932e-07	3.772807000000000202e+26
1.512500000000000077e-07	3.747233999999999893e+26
1.524999999999999957e-07	3.726898999999999888e+26
1.537500000000000102e-07	3.711673000000000141e+26
1.549999999999999983e-07	3.701414999999999946e+26
1.562500000000000128e-07	3.695975000000000336e+26
1.575000000000000008e-07	3.695197000000000296e+26
1.587499999999999888e-07	3.698914000000000324e+26
1.600000000000000033e-07	3.706953000000000247e+26
1.612499999999999914e-07	3.719132999999999680e+26
1.625000000000000059e-07	3.735267000000000313e+26
1.637499999999999939e-07	3.755156999999999854e+26
1.650000000000000084e-07	3.778602999999999908e+26
1.662499999999999964e-07	3.805395999999999698e+26
1.675000000000000109e-07	3.835324000000000169e+26
1.687499999999999990e-07	3.868168000000000109e+26
1.699999999999999870e-07	3.903704999999999915e+26
1.712500000000000015e-07	3.941707000000000114e+26
1.724999999999999895e-07	3.981943000000000207e+26
1.737500000000000040e-07	4.024179000000000046e+26
1.749999999999999921e-07	4.068175000000000182e+26
1.762500000000000066e-07	4.113693000000000020e+26
1.774999999999999946e-07	4.160490999999999887e+26
1.787500000000000091e-07	4.208324999999999888e+26
1.799999999999999971e-07	4.256952000000000238e+26
1.812500000000000117e-07	4.306127999999999668e+26
1.824999999999999997e-07	4.355609000000000341e+26
1.837499999999999877e-07	4.405153999999999952e+26
1.850000000000000022e-07	4.454520000000000089e+26
1.862499999999999902e-07	4.503469000000000155e+26
1.875000000000000048e-07	4.551763999999999667e+26
1.887499999999999928e-07	4.599171999999999962e+26
1.900000000000000073e-07	4.645462999999999966e+26
1.912499999999999953e-07	4.690411999999999855e+26
1.925000000000000098e-07	4.733798000000000251e+26
1.937499999999999978e-07	4.775404000000000166e+26
1.950000000000000124e-07	4.815020000000000083e+26
1.962500000000000004e-07	4.852444000000000010e+26
1.974999999999999884e-07	4.887478999999999828e+26
1.987500000000000029e-07	4.919932999999999979e+26
1.999999999999999909e-07	4.949626000000000190e+26
2.012500000000000055e-07	4.976381999999999950e+26
2.024999999999999935e-07	5.000037000000000096e+26
2.037500000000000080e-07	5.020433000000000074e+26
2.049999999999999960e-07	5.037423999999999993e+26
2.062500000000000105e-07	5.050871000000000058e+26
2.074999999999999986e-07	5.060646000000000335e+26
2.087500000000000131e-07	5.066633000000000174e+26
2.100000000000000011e-07	5.068723999999999824e+26
2.112499999999999891e-07	5.066822000000000082e+26
2.125000000000000036e-07	5.060843999999999879e+26
2.137499999999999917e-07	5.050715999999999843e+26
2.150000000000000062e-07	5.036373999999999663e+26
2.162499999999999942e-07	5.017770000000000138e+26
2.175000000000000087e-07	4.994863000000000102e+26
2.187499999999999967e-07	4.967628000000000185e+26
2.200000000000000112e-07	4.936048999999999966e+26
2.212499999999999993e-07	4.900123999999999908e+26
2.224999999999999873e-07	4.859862000000000333e+26
2.237500000000000018e-07	4.815284000000000163e+26
2.249999999999999898e-07	4.766423999999999776e+26
2.262500000000000043e-07	4.713325999999999989e+26
2.274999999999999924e-07	4.656047999999999751e+26
2.287500000000000069e-07	4.594658999999999934e+26
2.299999999999999949e-07	4.529237999999999784e+26
2.312500000000000094e-07	4.459878000000000117e+26
2.324999999999999974e-07	4.386681000000000010e+26
2.337500000000000119e-07	4.309760999999999889e+26
2.350000000000000000e-07	4.229243000000000039e+26
2.362499999999999880e-07	4.145260000000000267e+26
2.375000000000000025e-07	4.057958999999999891e+26
2.387499999999999905e-07	3.967492000000000164e+26
2.399999999999999786e-07	3.874024999999999789e+26
2.412500000000000195e-07	3.777729000000000089e+26
2.425000000000000076e-07	3.678786000000000186e+26
2.437499999999999956e-07	3.577384999999999990e+26
2.449999999999999836e-07	3.473722000000000193e+26
2.462500000000000246e-07	3.368001999999999751e+26
2.475000000000000126e-07	3.260435000000000243e+26
2.487500000000000007e-07	3.151239000000000019e+26
2.499999999999999887e-07	3.068445000000000028e+26
