x	G_ehp
5.124999999999999900e-08	8.922682000000000137e+27
5.250000000000000027e-08	8.783604999999999631e+27
5.375000000000000154e-08	8.645639000000000530e+27
5.500000000000000281e-08	8.508721000000000297e+27
5.624999999999999745e-08	8.372792999999999846e+27
5.749999999999999872e-08	8.237803000000000487e+27
5.874999999999999999e-08	8.103700999999999632e+27
5.999999999999999464e-08	7.970442999999999490e+27
6.124999999999999590e-08	7.837987999999999721e+27
6.249999999999999717e-08	7.706301999999999532e+27
6.374999999999999844e-08	7.575351999999999480e+27
6.499999999999999971e-08	7.445112999999999921e+27
6.625000000000000097e-08	7.315561000000000359e+27
6.750000000000000224e-08	7.186678999999999851e+27
6.875000000000000351e-08	7.058453999999999546e+27
7.000000000000000477e-08	6.930876000000000249e+27
7.125000000000000604e-08	6.803939999999999610e+27
7.249999999999999407e-08	6.677644999999999579e+27
7.374999999999999534e-08	6.551992999999999555e+27
7.499999999999999661e-08	6.426992999999999588e+27
7.624999999999999787e-08	6.302654999999999974e+27
7.749999999999999914e-08	6.178994000000000061e+27
7.875000000000000041e-08	6.056029000000000194e+27
8.000000000000000167e-08	5.933781000000000118e+27
8.125000000000000294e-08	5.812276999999999978e+27
8.250000000000000421e-08	5.691545000000000167e+27
8.375000000000000547e-08	5.571618000000000129e+27
8.499999999999999351e-08	5.452529999999999555e+27
8.624999999999999477e-08	5.334320999999999636e+27
8.749999999999999604e-08	5.217030000000000214e+27
8.874999999999999731e-08	5.100701000000000180e+27
8.999999999999999857e-08	4.985380000000000023e+27
9.124999999999999984e-08	4.871115000000000183e+27
9.250000000000000111e-08	4.757957000000000198e+27
9.375000000000000238e-08	4.645957000000000157e+27
9.500000000000000364e-08	4.535168999999999798e+27
9.625000000000000491e-08	4.425648000000000209e+27
9.750000000000000618e-08	4.317451000000000227e+27
9.874999999999999421e-08	4.210636000000000040e+27
9.999999999999999547e-08	4.105260000000000134e+27
1.012499999999999967e-07	4.001385000000000047e+27
1.024999999999999980e-07	3.899068000000000265e+27
1.037499999999999993e-07	3.798368999999999826e+27
1.050000000000000005e-07	3.699349000000000216e+27
1.062500000000000018e-07	3.602069000000000170e+27
1.075000000000000031e-07	3.506588000000000128e+27
1.087500000000000043e-07	3.412964999999999974e+27
1.100000000000000056e-07	3.321257000000000197e+27
1.112499999999999936e-07	3.231523000000000134e+27
1.124999999999999949e-07	3.143817999999999772e+27
1.137499999999999962e-07	3.058197000000000200e+27
1.149999999999999974e-07	2.974712999999999805e+27
1.162499999999999987e-07	2.893418000000000026e+27
1.175000000000000000e-07	2.814360999999999903e+27
1.187500000000000012e-07	2.737589000000000174e+27
1.199999999999999893e-07	2.663146999999999980e+27
1.212500000000000038e-07	2.591078000000000162e+27
1.224999999999999918e-07	2.521422999999999960e+27
1.237500000000000063e-07	2.454216999999999867e+27
1.249999999999999943e-07	2.389494000000000124e+27
1.262500000000000088e-07	2.327286999999999901e+27
1.274999999999999969e-07	2.267620999999999941e+27
1.287500000000000114e-07	2.210521999999999863e+27
1.299999999999999994e-07	2.156009999999999989e+27
1.312499999999999874e-07	2.104101999999999889e+27
1.325000000000000019e-07	2.054812000000000035e+27
1.337499999999999900e-07	2.008148999999999925e+27
1.350000000000000045e-07	1.964117999999999984e+27
1.362499999999999925e-07	1.922720999999999885e+27
1.375000000000000070e-07	1.883955999999999954e+27
1.387499999999999950e-07	1.847816000000000094e+27
1.400000000000000095e-07	1.814289000000000055e+27
1.412499999999999976e-07	1.783360999999999917e+27
1.425000000000000121e-07	1.755012999999999884e+27
1.437500000000000001e-07	1.729221000000000010e+27
1.449999999999999881e-07	1.705955999999999928e+27
1.462500000000000026e-07	1.685188000000000119e+27
1.474999999999999907e-07	1.666879999999999867e+27
1.487500000000000052e-07	1.650989999999999954e+27
1.499999999999999932e-07	1.637475000000000092e+27
1.512500000000000077e-07	1.626287000000000115e+27
1.524999999999999957e-07	1.617371000000000036e+27
1.537500000000000102e-07	1.610670999999999892e+27
1.549999999999999983e-07	1.606127000000000097e+27
1.562500000000000128e-07	1.603674000000000089e+27
1.575000000000000008e-07	1.603244999999999909e+27
1.587499999999999888e-07	1.604767000000000022e+27
1.600000000000000033e-07	1.608166000000000096e+27
1.612499999999999914e-07	1.613362999999999922e+27
1.625000000000000059e-07	1.620276999999999894e+27
1.637499999999999939e-07	1.628823999999999929e+27
1.650000000000000084e-07	1.638916000000000048e+27
