lambda n k
4.170000000000000415e-07 1.546724999999999905e+00 1.431649999999999867e-01
4.180000000000000107e-07 1.543560000000000043e+00 1.445420000000000038e-01
4.190000000000000329e-07 1.540512000000000103e+00 1.459880000000000067e-01
4.200000000000000022e-07 1.537584999999999980e+00 1.474949999999999872e-01
4.210000000000000244e-07 1.534782000000000091e+00 1.490579999999999961e-01
4.220000000000000465e-07 1.532105999999999968e+00 1.506669999999999954e-01
4.230000000000000158e-07 1.529558999999999891e+00 1.523150000000000059e-01
4.240000000000000380e-07 1.527141999999999999e+00 1.539939999999999920e-01
4.250000000000000072e-07 1.524855000000000071e+00 1.556950000000000001e-01
4.260000000000000294e-07 1.522699999999999942e+00 1.574089999999999934e-01
4.270000000000000516e-07 1.520674999999999999e+00 1.591289999999999927e-01
4.280000000000000209e-07 1.518779000000000101e+00 1.608459999999999890e-01
4.290000000000000431e-07 1.517009999999999970e+00 1.625510000000000010e-01
4.300000000000000123e-07 1.515365999999999991e+00 1.642369999999999941e-01
4.310000000000000345e-07 1.513843000000000050e+00 1.658959999999999879e-01
4.320000000000000037e-07 1.512437999999999949e+00 1.675190000000000012e-01
4.330000000000000259e-07 1.511144999999999960e+00 1.691010000000000013e-01
4.340000000000000481e-07 1.509962000000000026e+00 1.706330000000000069e-01
4.350000000000000174e-07 1.508880999999999917e+00 1.721109999999999862e-01
4.360000000000000396e-07 1.507897999999999961e+00 1.735260000000000136e-01
4.370000000000000088e-07 1.507006999999999985e+00 1.748750000000000027e-01
4.380000000000000310e-07 1.506199999999999983e+00 1.761520000000000030e-01
4.390000000000000532e-07 1.505471999999999921e+00 1.773530000000000106e-01
4.400000000000000224e-07 1.504815000000000014e+00 1.784719999999999918e-01
4.410000000000000446e-07 1.504221999999999948e+00 1.795080000000000009e-01
4.420000000000000139e-07 1.503684999999999938e+00 1.804570000000000063e-01
4.430000000000000361e-07 1.503198000000000034e+00 1.813150000000000039e-01
4.440000000000000053e-07 1.502752000000000088e+00 1.820829999999999949e-01
4.450000000000000275e-07 1.502339000000000091e+00 1.827570000000000028e-01
4.460000000000000497e-07 1.501951999999999954e+00 1.833380000000000010e-01
4.470000000000000189e-07 1.501584000000000030e+00 1.838249999999999884e-01
4.480000000000000411e-07 1.501225000000000032e+00 1.842189999999999939e-01
4.490000000000000104e-07 1.500869000000000009e+00 1.845199999999999896e-01
4.500000000000000326e-07 1.500507999999999953e+00 1.847290000000000043e-01
4.510000000000000018e-07 1.500134000000000079e+00 1.848499999999999865e-01
4.520000000000000240e-07 1.499740999999999991e+00 1.848829999999999918e-01
4.530000000000000462e-07 1.499320999999999904e+00 1.848339999999999983e-01
4.540000000000000155e-07 1.498866999999999949e+00 1.847040000000000071e-01
4.550000000000000376e-07 1.498374000000000095e+00 1.844979999999999953e-01
4.560000000000000069e-07 1.497835000000000027e+00 1.842199999999999949e-01
4.570000000000000291e-07 1.497244999999999937e+00 1.838760000000000117e-01
4.580000000000000513e-07 1.496598000000000095e+00 1.834709999999999952e-01
4.590000000000000205e-07 1.495889999999999942e+00 1.830100000000000060e-01
4.600000000000000427e-07 1.495115999999999890e+00 1.824999999999999956e-01
4.610000000000000120e-07 1.494274000000000102e+00 1.819459999999999966e-01
4.620000000000000342e-07 1.493359000000000103e+00 1.813559999999999894e-01
4.630000000000000034e-07 1.492369999999999974e+00 1.807350000000000068e-01
4.640000000000000256e-07 1.491303999999999963e+00 1.800910000000000011e-01
4.650000000000000478e-07 1.490161000000000069e+00 1.794300000000000062e-01
4.660000000000000170e-07 1.488939000000000012e+00 1.787590000000000012e-01
4.670000000000000392e-07 1.487638000000000016e+00 1.780849999999999933e-01
4.680000000000000085e-07 1.486258999999999997e+00 1.774139999999999884e-01
4.690000000000000307e-07 1.484801000000000037e+00 1.767529999999999935e-01
4.700000000000000528e-07 1.483268000000000031e+00 1.761070000000000135e-01
4.710000000000000221e-07 1.481659999999999977e+00 1.754840000000000011e-01
4.720000000000000443e-07 1.479980000000000073e+00 1.748879999999999879e-01
4.730000000000000135e-07 1.478229999999999933e+00 1.743240000000000067e-01
4.740000000000000357e-07 1.476413999999999893e+00 1.737990000000000090e-01
4.750000000000000050e-07 1.474534999999999929e+00 1.733159999999999978e-01
4.760000000000000272e-07 1.472596000000000016e+00 1.728800000000000059e-01
4.770000000000000494e-07 1.470601000000000047e+00 1.724940000000000084e-01
4.780000000000000186e-07 1.468553999999999915e+00 1.721620000000000095e-01
4.789999999999999879e-07 1.466458999999999957e+00 1.718880000000000130e-01
4.800000000000000630e-07 1.464320000000000066e+00 1.716729999999999923e-01
4.810000000000000322e-07 1.462142999999999970e+00 1.715200000000000058e-01
4.820000000000000015e-07 1.459931000000000090e+00 1.714320000000000010e-01
4.830000000000000766e-07 1.457686999999999955e+00 1.714080000000000048e-01
4.840000000000000459e-07 1.455418000000000101e+00 1.714509999999999923e-01
4.850000000000000151e-07 1.453127000000000058e+00 1.715619999999999923e-01
4.859999999999999844e-07 1.450817000000000023e+00 1.717400000000000038e-01
4.870000000000000595e-07 1.448493999999999948e+00 1.719860000000000000e-01
4.880000000000000287e-07 1.446161000000000030e+00 1.723010000000000097e-01
4.889999999999999980e-07 1.443821999999999939e+00 1.726830000000000032e-01
4.900000000000000731e-07 1.441478999999999955e+00 1.731310000000000071e-01
4.910000000000000424e-07 1.439138000000000028e+00 1.736459999999999948e-01
4.920000000000000116e-07 1.436800000000000077e+00 1.742269999999999930e-01
4.929999999999999809e-07 1.434468999999999994e+00 1.748709999999999987e-01
4.940000000000000560e-07 1.432147999999999977e+00 1.755780000000000118e-01
4.950000000000000252e-07 1.429840000000000000e+00 1.763460000000000027e-01
4.959999999999999945e-07 1.427548000000000039e+00 1.771739999999999982e-01
4.970000000000000696e-07 1.425272000000000094e+00 1.780599999999999961e-01
4.980000000000000389e-07 1.423014999999999919e+00 1.790019999999999945e-01
4.990000000000000081e-07 1.420781000000000072e+00 1.799989999999999923e-01
5.000000000000000833e-07 1.418568999999999969e+00 1.810479999999999867e-01
5.010000000000000525e-07 1.416382000000000030e+00 1.821480000000000044e-01
5.020000000000000218e-07 1.414220000000000033e+00 1.832969999999999877e-01
5.029999999999999910e-07 1.412085999999999952e+00 1.844939999999999913e-01
5.040000000000000661e-07 1.409980000000000011e+00 1.857350000000000112e-01
