lambda n k
7.620000000000000735e-07 1.660455999999999932e+00 5.272109999999999852e-01
7.630000000000000428e-07 1.662944999999999895e+00 5.302540000000000031e-01
7.640000000000000120e-07 1.665524000000000004e+00 5.332869999999999555e-01
7.650000000000000871e-07 1.668188999999999922e+00 5.363090000000000357e-01
7.660000000000000564e-07 1.670935999999999977e+00 5.393250000000000544e-01
7.670000000000000256e-07 1.673762999999999890e+00 5.423339999999999828e-01
7.680000000000001008e-07 1.676668000000000047e+00 5.453400000000000469e-01
7.690000000000000700e-07 1.679645999999999972e+00 5.483449999999999713e-01
7.700000000000000393e-07 1.682698999999999945e+00 5.513540000000000108e-01
7.710000000000000085e-07 1.685823000000000071e+00 5.543700000000000294e-01
7.720000000000000837e-07 1.689019999999999966e+00 5.573970000000000313e-01
7.730000000000000529e-07 1.692288999999999932e+00 5.604400000000000492e-01
7.740000000000000221e-07 1.695632000000000028e+00 5.635029999999999761e-01
7.750000000000000973e-07 1.699049999999999949e+00 5.665909999999999558e-01
7.760000000000000665e-07 1.702545999999999893e+00 5.697079999999999922e-01
7.770000000000000358e-07 1.706123999999999974e+00 5.728590000000000071e-01
7.780000000000000050e-07 1.709789000000000003e+00 5.760490000000000332e-01
7.790000000000000802e-07 1.713545000000000096e+00 5.792810000000000459e-01
7.800000000000000494e-07 1.717398999999999898e+00 5.825590000000000490e-01
7.810000000000000187e-07 1.721357999999999944e+00 5.858870000000000466e-01
7.820000000000000938e-07 1.725430000000000019e+00 5.892659999999999565e-01
7.830000000000000630e-07 1.729622999999999911e+00 5.927000000000000046e-01
7.840000000000000323e-07 1.733948000000000045e+00 5.961889999999999690e-01
7.850000000000000015e-07 1.738412999999999986e+00 5.997320000000000428e-01
7.860000000000000767e-07 1.743030999999999997e+00 6.033300000000000329e-01
7.870000000000000459e-07 1.747811999999999921e+00 6.069799999999999640e-01
7.880000000000000152e-07 1.752766999999999964e+00 6.106789999999999718e-01
7.890000000000000903e-07 1.757910000000000084e+00 6.144220000000000237e-01
7.900000000000000595e-07 1.763250999999999902e+00 6.182029999999999470e-01
7.910000000000000288e-07 1.768802999999999903e+00 6.220149999999999846e-01
7.919999999999999980e-07 1.774577000000000071e+00 6.258479999999999599e-01
7.930000000000000732e-07 1.780586000000000002e+00 6.296920000000000295e-01
7.940000000000000424e-07 1.786839999999999984e+00 6.335349999999999593e-01
7.950000000000000117e-07 1.793349000000000082e+00 6.373630000000000129e-01
7.960000000000000868e-07 1.800122999999999918e+00 6.411620000000000097e-01
7.970000000000000560e-07 1.807169000000000025e+00 6.449139999999999873e-01
7.980000000000000253e-07 1.814494999999999969e+00 6.486039999999999583e-01
7.990000000000001004e-07 1.822105000000000086e+00 6.522109999999999852e-01
8.000000000000000697e-07 1.830005000000000104e+00 6.557169999999999943e-01
8.010000000000000389e-07 1.838195000000000023e+00 6.591010000000000479e-01
8.020000000000000082e-07 1.846678000000000042e+00 6.623409999999999576e-01
8.030000000000000833e-07 1.855450000000000044e+00 6.654179999999999540e-01
8.040000000000000526e-07 1.864509999999999890e+00 6.683069999999999844e-01
8.050000000000000218e-07 1.873850000000000016e+00 6.709889999999999466e-01
8.060000000000000969e-07 1.883464999999999945e+00 6.734409999999999563e-01
8.070000000000000662e-07 1.893348000000000031e+00 6.756429999999999936e-01
8.080000000000000354e-07 1.903480999999999979e+00 6.775740000000000096e-01
8.090000000000000047e-07 1.913858000000000059e+00 6.792139999999999844e-01
8.100000000000000798e-07 1.924461999999999895e+00 6.805449999999999555e-01
8.110000000000000491e-07 1.935278000000000054e+00 6.815489999999999604e-01
8.120000000000000183e-07 1.946288999999999936e+00 6.822089999999999543e-01
8.130000000000000934e-07 1.957473999999999936e+00 6.825109999999999788e-01
8.140000000000000627e-07 1.968817000000000039e+00 6.824409999999999643e-01
8.150000000000000319e-07 1.980296000000000056e+00 6.819859999999999811e-01
8.160000000000000012e-07 1.991889000000000021e+00 6.811369999999999925e-01
8.170000000000000763e-07 2.003575000000000106e+00 6.798830000000000151e-01
8.180000000000000456e-07 2.015331999999999901e+00 6.782190000000000163e-01
8.190000000000000148e-07 2.027133000000000074e+00 6.761369999999999880e-01
8.200000000000000899e-07 2.038962999999999859e+00 6.736330000000000373e-01
8.210000000000000592e-07 2.050793999999999784e+00 6.707039999999999669e-01
8.220000000000000284e-07 2.062600999999999907e+00 6.673489999999999700e-01
8.230000000000001036e-07 2.074364999999999792e+00 6.635680000000000467e-01
8.240000000000000728e-07 2.086062000000000083e+00 6.593620000000000037e-01
8.250000000000000421e-07 2.097665999999999809e+00 6.547359999999999847e-01
8.260000000000000113e-07 2.109159000000000006e+00 6.496910000000000185e-01
8.270000000000000865e-07 2.120515999999999845e+00 6.442329999999999446e-01
8.280000000000000557e-07 2.131717000000000084e+00 6.383699999999999930e-01
8.290000000000000250e-07 2.142741000000000007e+00 6.321090000000000320e-01
8.300000000000001001e-07 2.153567999999999927e+00 6.254579999999999584e-01
8.310000000000000693e-07 2.164175999999999878e+00 6.184279999999999777e-01
8.320000000000000386e-07 2.174545999999999868e+00 6.110309999999999908e-01
8.330000000000000078e-07 2.184660000000000046e+00 6.032779999999999809e-01
8.340000000000000830e-07 2.194500999999999813e+00 5.951819999999999888e-01
8.350000000000000522e-07 2.204047000000000089e+00 5.867609999999999770e-01
8.360000000000000215e-07 2.213286999999999782e+00 5.780250000000000110e-01
8.370000000000000966e-07 2.222204000000000068e+00 5.689939999999999998e-01
8.380000000000000658e-07 2.230783000000000182e+00 5.596830000000000416e-01
8.390000000000000351e-07 2.239011000000000084e+00 5.501120000000000454e-01
8.400000000000000043e-07 2.246875000000000178e+00 5.402979999999999450e-01
8.410000000000000795e-07 2.254363999999999812e+00 5.302620000000000111e-01
8.420000000000000487e-07 2.261470000000000091e+00 5.200240000000000418e-01
8.430000000000000180e-07 2.268181999999999920e+00 5.096039999999999459e-01
8.440000000000000931e-07 2.274493999999999794e+00 4.990229999999999944e-01
8.450000000000000623e-07 2.280400999999999900e+00 4.883040000000000158e-01
8.460000000000000316e-07 2.285896999999999846e+00 4.774689999999999768e-01
8.470000000000000008e-07 2.290980999999999934e+00 4.665360000000000062e-01
8.480000000000000760e-07 2.295650000000000190e+00 4.555339999999999945e-01
8.490000000000000452e-07 2.299904999999999866e+00 4.444810000000000150e-01
8.500000000000000145e-07 2.303748000000000129e+00 4.333949999999999747e-01
8.510000000000000896e-07 2.307182000000000066e+00 4.223009999999999819e-01
8.520000000000000589e-07 2.310210000000000097e+00 4.112219999999999764e-01
8.530000000000000281e-07 2.312840000000000007e+00 4.001750000000000029e-01
8.540000000000001032e-07 2.315077000000000051e+00 3.891809999999999992e-01
8.550000000000000725e-07 2.316930999999999852e+00 3.782570000000000099e-01
8.560000000000000417e-07 2.318408999999999942e+00 3.674229999999999996e-01
8.570000000000000110e-07 2.319523999999999919e+00 3.566940000000000111e-01
8.580000000000000861e-07 2.320285999999999849e+00 3.460869999999999780e-01
8.590000000000000554e-07 2.320707000000000075e+00 3.356160000000000254e-01
8.600000000000000246e-07 2.320800000000000196e+00 3.252950000000000008e-01
8.610000000000000997e-07 2.320578999999999947e+00 3.151379999999999737e-01
8.620000000000000690e-07 2.320056000000000118e+00 3.051519999999999788e-01
8.630000000000000382e-07 2.319246999999999836e+00 2.953509999999999747e-01
8.640000000000000075e-07 2.318165000000000031e+00 2.857439999999999980e-01
8.650000000000000826e-07 2.316825000000000134e+00 2.763369999999999993e-01
8.660000000000000519e-07 2.315243000000000162e+00 2.671370000000000133e-01
8.670000000000000211e-07 2.313432000000000155e+00 2.581519999999999926e-01
8.680000000000000962e-07 2.311406999999999989e+00 2.493829999999999936e-01
8.690000000000000655e-07 2.309181999999999846e+00 2.408359999999999945e-01
8.700000000000000347e-07 2.306773000000000184e+00 2.325129999999999975e-01
8.710000000000000040e-07 2.304190999999999878e+00 2.244160000000000044e-01
8.720000000000000791e-07 2.301451000000000136e+00 2.165449999999999875e-01
8.730000000000000484e-07 2.298566000000000109e+00 2.089020000000000044e-01
8.740000000000000176e-07 2.295548000000000144e+00 2.014839999999999964e-01
8.750000000000000928e-07 2.292409999999999837e+00 1.942919999999999925e-01
8.760000000000000620e-07 2.289162999999999837e+00 1.873219999999999885e-01
8.770000000000000313e-07 2.285817999999999905e+00 1.805740000000000123e-01
8.780000000000001064e-07 2.282385999999999804e+00 1.740430000000000033e-01
8.790000000000000756e-07 2.278875999999999902e+00 1.677269999999999872e-01
8.800000000000000449e-07 2.275298999999999960e+00 1.616219999999999879e-01
8.810000000000000141e-07 2.271663999999999906e+00 1.557250000000000023e-01
8.820000000000000893e-07 2.267977000000000132e+00 1.500279999999999947e-01
8.830000000000000585e-07 2.264248999999999956e+00 1.445319999999999938e-01
8.840000000000000278e-07 2.260486000000000217e+00 1.392279999999999907e-01
8.850000000000001029e-07 2.256695000000000118e+00 1.341130000000000100e-01
8.860000000000000721e-07 2.252883000000000191e+00 1.291839999999999933e-01
8.870000000000000414e-07 2.249054999999999804e+00 1.244330000000000019e-01
8.880000000000000106e-07 2.245219000000000076e+00 1.198560000000000042e-01
8.890000000000000858e-07 2.241375999999999813e+00 1.154469999999999941e-01
8.900000000000000550e-07 2.237534000000000134e+00 1.112019999999999953e-01
8.910000000000000243e-07 2.233696999999999822e+00 1.071160000000000029e-01
8.920000000000000994e-07 2.229868000000000183e+00 1.031839999999999979e-01
8.930000000000000686e-07 2.226052000000000142e+00 9.939900000000000124e-02
8.940000000000000379e-07 2.222250999999999976e+00 9.575899999999999690e-02
8.950000000000000071e-07 2.218468000000000107e+00 9.225700000000000567e-02
8.960000000000000823e-07 2.214706000000000063e+00 8.888899999999999579e-02
8.970000000000000515e-07 2.210970000000000102e+00 8.565200000000000591e-02
8.980000000000000208e-07 2.207257999999999942e+00 8.253699999999999926e-02
8.990000000000000959e-07 2.203574000000000144e+00 7.954400000000000359e-02
9.000000000000000652e-07 2.199920000000000098e+00 7.666599999999999804e-02
9.010000000000000344e-07 2.196298000000000084e+00 7.389999999999999347e-02
9.020000000000000037e-07 2.192708000000000101e+00 7.123999999999999777e-02
9.030000000000000788e-07 2.189153000000000127e+00 6.868499999999999606e-02
9.040000000000000480e-07 2.185632000000000019e+00 6.622899999999999621e-02
9.050000000000000173e-07 2.182147000000000059e+00 6.386799999999999422e-02
9.060000000000000924e-07 2.178697999999999801e+00 6.159900000000000098e-02
9.070000000000000617e-07 2.175286999999999971e+00 5.941899999999999959e-02
9.080000000000000309e-07 2.171912999999999982e+00 5.732399999999999995e-02
9.090000000000001060e-07 2.168578000000000117e+00 5.530999999999999805e-02
9.100000000000000753e-07 2.165280000000000094e+00 5.337499999999999883e-02
9.110000000000000445e-07 2.162021999999999888e+00 5.151499999999999829e-02
9.120000000000000138e-07 2.158802000000000110e+00 4.972700000000000037e-02
9.130000000000000889e-07 2.155621000000000009e+00 4.800999999999999712e-02
9.140000000000000582e-07 2.152477999999999891e+00 4.635899999999999743e-02
9.150000000000000274e-07 2.149373999999999896e+00 4.477199999999999930e-02
9.160000000000001025e-07 2.146309000000000022e+00 4.324599999999999972e-02
9.170000000000000718e-07 2.143282000000000131e+00 4.177999999999999770e-02
9.180000000000000410e-07 2.140293999999999919e+00 4.037000000000000310e-02
9.190000000000000103e-07 2.137342999999999993e+00 3.901500000000000107e-02
9.200000000000000854e-07 2.134428999999999910e+00 3.771200000000000246e-02
9.210000000000000547e-07 2.131553999999999949e+00 3.645999999999999935e-02
9.220000000000000239e-07 2.128715000000000135e+00 3.525500000000000161e-02
9.230000000000000991e-07 2.125912000000000024e+00 3.409700000000000231e-02
9.240000000000000683e-07 2.123145000000000060e+00 3.298299999999999843e-02
9.250000000000000376e-07 2.120413999999999799e+00 3.191200000000000286e-02
9.260000000000000068e-07 2.117719000000000129e+00 3.088199999999999973e-02
9.270000000000000819e-07 2.115057999999999883e+00 2.988999999999999990e-02
9.280000000000000512e-07 2.112430999999999948e+00 2.893700000000000092e-02
9.290000000000000204e-07 2.109839000000000020e+00 2.801899999999999877e-02
9.300000000000000956e-07 2.107279999999999820e+00 2.713700000000000140e-02
9.310000000000000648e-07 2.104753000000000096e+00 2.628700000000000134e-02
9.320000000000000341e-07 2.102259000000000100e+00 2.546999999999999958e-02
9.330000000000001092e-07 2.099797000000000136e+00 2.468300000000000008e-02
9.340000000000000784e-07 2.097366000000000064e+00 2.392599999999999935e-02
9.350000000000000477e-07 2.094967000000000024e+00 2.319699999999999887e-02
9.360000000000000169e-07 2.092597000000000040e+00 2.249500000000000111e-02
9.370000000000000921e-07 2.090257999999999949e+00 2.181900000000000159e-02
9.380000000000000613e-07 2.087947999999999915e+00 2.116799999999999932e-02
9.390000000000000306e-07 2.085666999999999938e+00 2.054100000000000023e-02
9.400000000000001057e-07 2.083415000000000017e+00 1.993699999999999986e-02
9.410000000000000749e-07 2.081189999999999873e+00 1.935500000000000068e-02
9.420000000000000442e-07 2.078993000000000091e+00 1.879499999999999921e-02
9.430000000000000134e-07 2.076823000000000086e+00 1.825399999999999939e-02
9.440000000000000886e-07 2.074679999999999858e+00 1.773399999999999976e-02
9.450000000000000578e-07 2.072563000000000155e+00 1.723200000000000079e-02
9.460000000000000271e-07 2.070470999999999950e+00 1.674799999999999900e-02
9.470000000000001022e-07 2.068404999999999827e+00 1.628200000000000133e-02
9.480000000000000715e-07 2.066364000000000090e+00 1.583199999999999885e-02
9.490000000000000407e-07 2.064347000000000154e+00 1.539899999999999949e-02
9.500000000000000100e-07 2.062354000000000021e+00 1.498000000000000026e-02
9.510000000000000851e-07 2.060383999999999993e+00 1.457699999999999968e-02
9.520000000000000543e-07 2.058438999999999908e+00 1.418799999999999922e-02
9.530000000000000236e-07 2.056515000000000093e+00 1.381199999999999962e-02
9.540000000000000987e-07 2.054613999999999940e+00 1.344899999999999915e-02
9.549999999999999621e-07 2.052734000000000059e+00 1.309899999999999953e-02
9.560000000000000372e-07 2.050876000000000143e+00 1.276099999999999977e-02
9.570000000000001123e-07 2.049039000000000055e+00 1.243499999999999987e-02
9.579999999999999757e-07 2.047222999999999793e+00 1.212000000000000056e-02
9.590000000000000508e-07 2.045427999999999802e+00 1.181600000000000011e-02
9.600000000000001260e-07 2.043652999999999942e+00 1.152199999999999926e-02
9.609999999999999893e-07 2.041897000000000073e+00 1.123700000000000046e-02
9.620000000000000645e-07 2.040162000000000031e+00 1.096300000000000052e-02
9.630000000000001396e-07 2.038444000000000145e+00 1.069699999999999991e-02
9.640000000000000030e-07 2.036745999999999945e+00 1.044100000000000063e-02
9.650000000000000781e-07 2.035066000000000042e+00 1.019300000000000067e-02
9.660000000000001532e-07 2.033405000000000129e+00 9.953000000000000042e-03
9.670000000000000166e-07 2.031760999999999928e+00 9.719999999999999474e-03
9.680000000000000917e-07 2.030133999999999883e+00 9.495999999999999233e-03
9.689999999999999551e-07 2.028525000000000134e+00 9.277999999999999789e-03
9.700000000000000302e-07 2.026933000000000096e+00 9.067999999999999672e-03
9.710000000000001053e-07 2.025358000000000214e+00 8.864000000000000351e-03
9.719999999999999687e-07 2.023798000000000208e+00 8.666999999999999357e-03
9.730000000000000438e-07 2.022254999999999914e+00 8.475999999999999160e-03
9.740000000000001190e-07 2.020728000000000080e+00 8.290999999999999759e-03
9.749999999999999823e-07 2.019216999999999818e+00 8.111999999999999419e-03
9.760000000000000575e-07 2.017720000000000180e+00 7.938000000000000611e-03
9.770000000000001326e-07 2.016239000000000114e+00 7.769999999999999997e-03
9.779999999999999960e-07 2.014772999999999925e+00 7.607000000000000046e-03
9.790000000000000711e-07 2.013320999999999916e+00 7.447999999999999760e-03
9.800000000000001462e-07 2.011883999999999784e+00 7.295000000000000269e-03
9.810000000000000096e-07 2.010460999999999832e+00 7.145999999999999575e-03
9.820000000000000847e-07 2.009052000000000060e+00 7.001000000000000278e-03
9.830000000000001599e-07 2.007655999999999885e+00 6.860999999999999911e-03
9.840000000000000232e-07 2.006273999999999891e+00 6.725000000000000075e-03
9.850000000000000984e-07 2.004904999999999937e+00 6.592999999999999902e-03
9.859999999999999617e-07 2.003550000000000164e+00 6.464000000000000128e-03
9.870000000000000369e-07 2.002206000000000152e+00 6.339000000000000017e-03
9.880000000000001120e-07 2.000875999999999877e+00 6.217999999999999569e-03
9.889999999999999754e-07 1.999559000000000086e+00 6.100000000000000387e-03
9.900000000000000505e-07 1.998253000000000057e+00 5.986000000000000001e-03
9.910000000000001256e-07 1.996960000000000068e+00 5.875000000000000014e-03
9.919999999999999890e-07 1.995678999999999981e+00 5.766000000000000292e-03
9.930000000000000641e-07 1.994409000000000098e+00 5.661000000000000233e-03
9.940000000000001392e-07 1.993150999999999895e+00 5.557999999999999573e-03
9.950000000000000026e-07 1.991903999999999897e+00 5.459000000000000311e-03
9.960000000000000777e-07 1.990669000000000022e+00 5.361999999999999579e-03
9.970000000000001529e-07 1.989444999999999908e+00 5.266999999999999980e-03
9.980000000000000162e-07 1.988231000000000082e+00 5.174999999999999913e-03
9.990000000000000914e-07 1.987028999999999934e+00 5.085000000000000110e-03
1.000000000000000167e-06 1.985837000000000074e+00 4.997999999999999839e-03
