lambda	I
3.980000000000000434e-07	6.657245317632330989e+04
3.990000000000000126e-07	6.529986252292203426e+04
4.000000000000000348e-07	6.527661998630595190e+04
4.010000000000000041e-07	7.231263887301394425e+04
4.020000000000000263e-07	6.392502882783293899e+04
4.030000000000000485e-07	7.525530756433773786e+04
4.040000000000000177e-07	6.956199938782535901e+04
4.050000000000000399e-07	7.490889158867715742e+04
4.060000000000000092e-07	8.454678145280655008e+04
4.070000000000000313e-07	8.947821047204449133e+04
4.080000000000000006e-07	8.673572234538459452e+04
4.090000000000000228e-07	8.465576130615713191e+04
4.100000000000000450e-07	9.674607412052499421e+04
4.110000000000000142e-07	1.141222433005879866e+05
4.120000000000000364e-07	1.162199320029363589e+05
4.130000000000000057e-07	1.223248872649650730e+05
4.140000000000000279e-07	1.282118001824399835e+05
4.150000000000000500e-07	1.412449395825519168e+05
4.160000000000000193e-07	1.485878512374304701e+05
4.170000000000000415e-07	1.742500705130771676e+05
4.180000000000000107e-07	1.960742211090309138e+05
4.190000000000000329e-07	2.055389942955088627e+05
4.200000000000000022e-07	2.477162800675108447e+05
4.210000000000000244e-07	2.700700725879337988e+05
4.220000000000000465e-07	3.086929813637383049e+05
4.230000000000000158e-07	3.388255756837350782e+05
4.240000000000000380e-07	3.855898900229999563e+05
4.250000000000000072e-07	4.501001469104303978e+05
4.260000000000000294e-07	5.017032273341239197e+05
4.270000000000000516e-07	5.502582885596194537e+05
4.280000000000000209e-07	6.328903643153983867e+05
4.290000000000000431e-07	6.850116161652416922e+05
4.300000000000000123e-07	7.843803009867883520e+05
4.310000000000000345e-07	8.860462860798130278e+05
4.320000000000000037e-07	9.806369236308375839e+05
4.330000000000000259e-07	1.054469447469767882e+06
4.340000000000000481e-07	1.161574644878859399e+06
4.350000000000000174e-07	1.269639007219586987e+06
4.360000000000000396e-07	1.421185688184309984e+06
4.370000000000000088e-07	1.555263690824227640e+06
4.380000000000000310e-07	1.733217928926242981e+06
4.390000000000000532e-07	1.919824762835777132e+06
4.400000000000000224e-07	2.159574890980806202e+06
4.410000000000000446e-07	2.447578769187768456e+06
4.420000000000000139e-07	2.856512950968335848e+06
4.430000000000000361e-07	3.312266611773799639e+06
4.440000000000000053e-07	3.853418236073378939e+06
4.450000000000000275e-07	4.476130108845296316e+06
4.460000000000000497e-07	5.182304855677546933e+06
4.470000000000000189e-07	5.964874054587088525e+06
4.480000000000000411e-07	6.764993258531104773e+06
4.490000000000000104e-07	7.574659996397195384e+06
4.500000000000000326e-07	8.332913586339931935e+06
4.510000000000000018e-07	8.920336309908425435e+06
4.520000000000000240e-07	9.418108139782283455e+06
4.530000000000000462e-07	9.697167562342507765e+06
4.540000000000000155e-07	9.641819925463926047e+06
4.550000000000000376e-07	9.497273220042686909e+06
4.560000000000000069e-07	9.141435418692626059e+06
4.570000000000000291e-07	8.638752946125984192e+06
4.580000000000000513e-07	8.194251027164173312e+06
4.590000000000000205e-07	7.646695747357976623e+06
4.600000000000000427e-07	7.208780916753192432e+06
4.610000000000000120e-07	6.922005096495711245e+06
4.620000000000000342e-07	6.772945428561024368e+06
4.630000000000000034e-07	6.693846389556095004e+06
4.640000000000000256e-07	6.660524321059323847e+06
4.650000000000000478e-07	6.655122394447030500e+06
4.660000000000000170e-07	6.638830675465154462e+06
4.670000000000000392e-07	6.645337940690585412e+06
4.680000000000000085e-07	6.544673093348475173e+06
4.690000000000000307e-07	6.432362325424485840e+06
4.700000000000000528e-07	6.236621460652533919e+06
4.710000000000000221e-07	6.014680833810462616e+06
4.720000000000000443e-07	5.796383089194724336e+06
4.730000000000000135e-07	5.581746484432636760e+06
4.740000000000000357e-07	5.338867350860796869e+06
4.750000000000000050e-07	5.174753344898988493e+06
4.760000000000000272e-07	5.099955581755283289e+06
4.770000000000000494e-07	5.028453917626105249e+06
4.780000000000000186e-07	5.022195144208095968e+06
4.789999999999999879e-07	5.116522154954584315e+06
4.800000000000000630e-07	5.202233605734593235e+06
4.810000000000000322e-07	5.318939508170243353e+06
4.820000000000000015e-07	5.449094865430317819e+06
4.830000000000000766e-07	5.595047887196800672e+06
4.840000000000000459e-07	5.751876956494948827e+06
4.850000000000000151e-07	5.948183387571996078e+06
4.859999999999999844e-07	6.027244482421163470e+06
4.870000000000000595e-07	6.202419940026119351e+06
4.880000000000000287e-07	6.344072113218545914e+06
4.889999999999999980e-07	6.492299094719321467e+06
4.900000000000000731e-07	6.619076667051751167e+06
4.910000000000000424e-07	6.783991205240784213e+06
4.920000000000000116e-07	6.939437828722841106e+06
4.929999999999999809e-07	7.154529194450448267e+06
4.940000000000000560e-07	7.376036338004203513e+06
4.950000000000000252e-07	7.559902808957129717e+06
4.959999999999999945e-07	7.731517937647249550e+06
4.970000000000000696e-07	7.934717683593432419e+06
4.980000000000000389e-07	8.151420379607365467e+06
4.990000000000000081e-07	8.311789574261213653e+06
5.000000000000000833e-07	8.510909961245954037e+06
5.010000000000000525e-07	8.670999651085844263e+06
5.020000000000000218e-07	8.785675954099917784e+06
5.029999999999999910e-07	9.039493217399701476e+06
5.040000000000000661e-07	9.126070345580823720e+06
5.050000000000000354e-07	9.273843357818018645e+06
5.060000000000000046e-07	9.419281254707001150e+06
5.070000000000000798e-07	9.568179280731020495e+06
5.080000000000000490e-07	9.743087201696485281e+06
5.090000000000000183e-07	9.867996473036011681e+06
5.099999999999999875e-07	9.952408329744772986e+06
5.110000000000000626e-07	1.012900190861323103e+07
5.120000000000000319e-07	1.026302930506064743e+07
5.130000000000000011e-07	1.042338026042350568e+07
5.140000000000000763e-07	1.057210033027783409e+07
5.150000000000000455e-07	1.070010315554013662e+07
5.160000000000000148e-07	1.086778199221220985e+07
5.169999999999999840e-07	1.094818075859861076e+07
5.180000000000000591e-07	1.100553902637088299e+07
5.190000000000000284e-07	1.126921029128981940e+07
5.199999999999999976e-07	1.139909724900638312e+07
5.210000000000000728e-07	1.155501171432769299e+07
5.220000000000000420e-07	1.164763309583659843e+07
5.230000000000000113e-07	1.187783673365221359e+07
5.239999999999999805e-07	1.199160119604873471e+07
5.250000000000000557e-07	1.218249816031867079e+07
5.260000000000000249e-07	1.237127071417730860e+07
5.269999999999999942e-07	1.254298204269749857e+07
5.280000000000000693e-07	1.278109491130480357e+07
5.290000000000000385e-07	1.293785503079247475e+07
5.300000000000000078e-07	1.308478914255265333e+07
5.310000000000000829e-07	1.335360878651543893e+07
5.320000000000000522e-07	1.357555210815353692e+07
5.330000000000000214e-07	1.376281759682155959e+07
5.339999999999999907e-07	1.396024303560582362e+07
5.350000000000000658e-07	1.417597245658637956e+07
5.360000000000000350e-07	1.439985565092354640e+07
5.370000000000000043e-07	1.457608111997469515e+07
5.380000000000000794e-07	1.478717260116345622e+07
5.390000000000000487e-07	1.496238939248926938e+07
5.400000000000000179e-07	1.523434758145643026e+07
5.409999999999999872e-07	1.541622004515731148e+07
5.420000000000000623e-07	1.563410475581740774e+07
5.430000000000000315e-07	1.573336050318747573e+07
5.440000000000000008e-07	1.594460963895579241e+07
5.450000000000000759e-07	1.615550847998514399e+07
5.460000000000000452e-07	1.634818061156437173e+07
5.470000000000000144e-07	1.645030108309926465e+07
5.479999999999999837e-07	1.663797391533850320e+07
5.490000000000000588e-07	1.675513223286523297e+07
5.500000000000000281e-07	1.684531357783561945e+07
5.509999999999999973e-07	1.701311699874055013e+07
5.520000000000000724e-07	1.714819122217807919e+07
5.530000000000000417e-07	1.714802357836513966e+07
5.540000000000000109e-07	1.719132053287322074e+07
5.550000000000000861e-07	1.730067280272419751e+07
5.560000000000000553e-07	1.743180320186947286e+07
5.570000000000000246e-07	1.739818441019072011e+07
5.579999999999999938e-07	1.742660233936903626e+07
5.590000000000000689e-07	1.741058407240981236e+07
5.600000000000000382e-07	1.740587757372637838e+07
5.610000000000000074e-07	1.734895644957627356e+07
5.620000000000000826e-07	1.735976270201833174e+07
5.630000000000000518e-07	1.743890915970437974e+07
5.640000000000000211e-07	1.732765686974630877e+07
5.649999999999999903e-07	1.725512483876712620e+07
5.660000000000000654e-07	1.716532766359900311e+07
5.670000000000000347e-07	1.718411207567016780e+07
5.680000000000000039e-07	1.713078759227434918e+07
5.690000000000000791e-07	1.704191920098521188e+07
5.700000000000000483e-07	1.693227543467185274e+07
5.710000000000000176e-07	1.694257335487016290e+07
5.719999999999999868e-07	1.680643690500182658e+07
5.730000000000000620e-07	1.676889360383522883e+07
5.740000000000000312e-07	1.669865124891113304e+07
5.750000000000000004e-07	1.669877401761769131e+07
5.760000000000000756e-07	1.662279638129715249e+07
5.770000000000000448e-07	1.651067524381550401e+07
5.780000000000000141e-07	1.646801799882341363e+07
5.789999999999999833e-07	1.654395215870548598e+07
5.800000000000000585e-07	1.652862253046650440e+07
5.810000000000000277e-07	1.657738879929723777e+07
5.819999999999999970e-07	1.658165801826279052e+07
5.830000000000000721e-07	1.661232846671475284e+07
5.840000000000000413e-07	1.666327831986273080e+07
5.850000000000000106e-07	1.675939920945666172e+07
5.860000000000000857e-07	1.685917933010210097e+07
5.870000000000000550e-07	1.698764084878444672e+07
5.880000000000000242e-07	1.710662517565890029e+07
5.889999999999999935e-07	1.723549831171797216e+07
5.900000000000000686e-07	1.738250359241261333e+07
5.910000000000000378e-07	1.757921944049023837e+07
5.920000000000000071e-07	1.785288437257764116e+07
5.930000000000000822e-07	1.806972190252682939e+07
5.940000000000000515e-07	1.823309124697202444e+07
5.950000000000000207e-07	1.860431832010398060e+07
5.959999999999999900e-07	1.890422735385444015e+07
5.970000000000000651e-07	1.923122684892173856e+07
5.980000000000000343e-07	1.959560755951025337e+07
5.990000000000000036e-07	1.994342912350261956e+07
6.000000000000000787e-07	2.032269077901273966e+07
6.010000000000000480e-07	2.065973771877519414e+07
6.020000000000000172e-07	2.110849799520820007e+07
6.029999999999999865e-07	2.157766887207555026e+07
6.040000000000000616e-07	2.202293645380488411e+07
6.050000000000000309e-07	2.251640705261934176e+07
6.060000000000000001e-07	2.300972694751829281e+07
6.070000000000000752e-07	2.344506704556399956e+07
6.080000000000000445e-07	2.394191668440889567e+07
6.090000000000000137e-07	2.451899130959636346e+07
6.100000000000000889e-07	2.500091111032587290e+07
6.110000000000000581e-07	2.550715354346577078e+07
6.120000000000000274e-07	2.607657315540367737e+07
6.129999999999999966e-07	2.660034507783804089e+07
6.140000000000000717e-07	2.717408636191152409e+07
6.150000000000000410e-07	2.773338378510561213e+07
6.160000000000000102e-07	2.832029776902034879e+07
6.170000000000000854e-07	2.882119524184348434e+07
6.180000000000000546e-07	2.936808399928449467e+07
6.190000000000000239e-07	2.984575847679452226e+07
6.199999999999999931e-07	3.038349265712147579e+07
6.210000000000000682e-07	3.085365043822393566e+07
6.220000000000000375e-07	3.132267057105376944e+07
6.230000000000000067e-07	3.176764679806203023e+07
6.240000000000000819e-07	3.215612573033992201e+07
6.250000000000000511e-07	3.271333910106103495e+07
6.260000000000000204e-07	3.308003879132584482e+07
6.269999999999999896e-07	3.348160828418278322e+07
6.280000000000000648e-07	3.387885054936781526e+07
6.290000000000000340e-07	3.419363234058726579e+07
6.300000000000000033e-07	3.455812210139399022e+07
6.310000000000000784e-07	3.480399925219903886e+07
6.320000000000000476e-07	3.504131259354031086e+07
6.330000000000000169e-07	3.535483395199929178e+07
6.340000000000000920e-07	3.562446944046954811e+07
6.350000000000000613e-07	3.581449786170162261e+07
6.360000000000000305e-07	3.601035503148076683e+07
6.369999999999999998e-07	3.620590926425606757e+07
6.380000000000000749e-07	3.632815184045145661e+07
6.390000000000000441e-07	3.641233233413799852e+07
6.400000000000000134e-07	3.653413952788916230e+07
6.410000000000000885e-07	3.672011452599303424e+07
6.420000000000000578e-07	3.678041327376972139e+07
6.430000000000000270e-07	3.681387487361714244e+07
6.439999999999999963e-07	3.698895986062130332e+07
6.450000000000000714e-07	3.693252503072290868e+07
6.460000000000000406e-07	3.701105118494400382e+07
6.470000000000000099e-07	3.707223135845266283e+07
6.480000000000000850e-07	3.710361609362772107e+07
6.490000000000000543e-07	3.710470050412230939e+07
6.500000000000000235e-07	3.726937512562587112e+07
6.509999999999999928e-07	3.718087696257825941e+07
6.520000000000000679e-07	3.729214766964687407e+07
6.530000000000000372e-07	3.733979699940852821e+07
6.540000000000000064e-07	3.755778062695844471e+07
6.550000000000000815e-07	3.744489964078093320e+07
6.560000000000000508e-07	3.753584715385453403e+07
6.570000000000000200e-07	3.765444971176569909e+07
6.579999999999999893e-07	3.766000971752872318e+07
6.590000000000000644e-07	3.774092035505978763e+07
6.600000000000000337e-07	3.791642773226246983e+07
6.610000000000000029e-07	3.801683650996098667e+07
6.620000000000000780e-07	3.819382532092130184e+07
6.630000000000000473e-07	3.832450597173140198e+07
6.640000000000000165e-07	3.842431823332888633e+07
6.650000000000000917e-07	3.863520778010975569e+07
6.660000000000000609e-07	3.875582479406239092e+07
6.670000000000000302e-07	3.890728494760704041e+07
6.679999999999999994e-07	3.917629563785108179e+07
6.690000000000000745e-07	3.956126930700966716e+07
6.700000000000000438e-07	3.971371796291979402e+07
6.710000000000000130e-07	3.998415366590446234e+07
6.720000000000000882e-07	4.047158705311907083e+07
6.730000000000000574e-07	4.069027086235299706e+07
6.740000000000000267e-07	4.103448175110702217e+07
6.749999999999999959e-07	4.139348122760346532e+07
6.760000000000000711e-07	4.182920528020510077e+07
6.770000000000000403e-07	4.227389702974615991e+07
6.780000000000000096e-07	4.266249616456387937e+07
6.790000000000000847e-07	4.307961467345692962e+07
6.800000000000000539e-07	4.345538700138529390e+07
6.810000000000000232e-07	4.390496704584717751e+07
6.819999999999999924e-07	4.428680177932063490e+07
6.830000000000000676e-07	4.473930367408431321e+07
6.840000000000000368e-07	4.523095922131442279e+07
6.850000000000000061e-07	4.565528752750118077e+07
6.860000000000000812e-07	4.608910007618536800e+07
6.870000000000000504e-07	4.642585513451008499e+07
6.880000000000000197e-07	4.694273511914926022e+07
6.890000000000000948e-07	4.732062272779935598e+07
6.900000000000000641e-07	4.786219608206761628e+07
6.910000000000000333e-07	4.878701168842957914e+07
6.920000000000000026e-07	5.026293125857248157e+07
6.930000000000000777e-07	5.183562346906811744e+07
6.940000000000000469e-07	5.220674431845008582e+07
6.950000000000000162e-07	5.160650626458524913e+07
6.960000000000000913e-07	5.065826779354658723e+07
6.970000000000000606e-07	5.013400607741589099e+07
6.980000000000000298e-07	4.999232004638453573e+07
6.989999999999999991e-07	4.991183442334156483e+07
7.000000000000000742e-07	4.996282043380389363e+07
7.010000000000000435e-07	5.006384160910341144e+07
7.020000000000000127e-07	5.001318423127435148e+07
7.030000000000000878e-07	5.003342655873963982e+07
7.040000000000000571e-07	4.991332052350358665e+07
