number,values_0,values_1,datetime_start,datetime_complete,duration,params_E_d_sh,params_G_frac,params_N_t_d,params_N_t_sh,params_W_L,params_W_R,params_W_R_sclc,params_d_sclc,params_l1_C_n_bulk,params_l1_k_dir,params_l1_mu_p,params_mu_e,system_attrs_NSGAIISampler:generation,system_attrs_fixed_params,state
147,0.05837584015089626,0.41040486210793803,2026-03-12 16:17:23.620103,2026-03-12 16:17:25.139152,0 days 00:00:01.519049,4.39593168874628,0.7645193289845125,47.49898191939333,51.890915954402686,4.423075030557694,5.2229405766875185,4.217759992830597,2.1697632560309568e-07,4.8456107309358685e-17,2.9140042953792085e-18,1.1213893826236842e-08,-14.044210425150215,2,,COMPLETE
148,0.05575929548988359,0.3032593460394347,2026-03-12 16:17:25.140158,2026-03-12 16:17:26.368385,0 days 00:00:01.228227,4.331266015745508,0.6613390272594899,47.213819011472,52.92831391967538,4.384433104102663,5.3905329775977275,4.244597927512438,1.8091708605910482e-07,2.1531558866857132e-18,4.33531895959131e-18,2.799015840254763e-07,-15.691338352203454,2,,COMPLETE
149,0.061340634207983094,0.11468676549329714,2026-03-12 16:17:26.369382,2026-03-12 16:17:27.728505,0 days 00:00:01.359123,4.3167469150366875,0.5682804940581229,47.213819011472,52.92831391967538,4.31848656366774,5.270636888891138,4.413996063031318,1.8773068027944915e-07,1.179930805069502e-18,1.2209147146466114e-18,4.187789165667718e-08,-15.267294172452925,2,,COMPLETE
150,,,2026-03-12 16:17:27.730499,2026-03-12 16:17:27.850104,0 days 00:00:00.119605,4.452581273955187,0.6517491420782349,46.12174036724096,55.212422615279465,4.326982698417077,5.272742437288826,4.4879467090911245,2.0901925066677717e-07,2.5300625968407534e-18,5.308265306621573e-17,1.4123340876248125e-08,-14.505322455393825,2,,PRUNED
151,0.02567664574217733,0.3739849051462101,2026-03-12 16:17:27.852100,2026-03-12 16:17:28.813022,0 days 00:00:00.960922,4.419148199333439,0.5067484957369444,47.143949324820404,52.0484449419529,4.277905270041668,5.31285610163334,4.330308892284595,1.9839361033859026e-07,2.1531558866857132e-18,5.4344988167654365e-15,8.296641561373889e-07,-16.761642280787864,2,,COMPLETE
152,0.023845659949840805,0.3815362406747919,2026-03-12 16:17:28.814019,2026-03-12 16:17:29.608562,0 days 00:00:00.794543,4.286797378700381,0.6613390272594899,46.849303688543465,54.546859385145,4.438322435555331,5.189250737333527,4.4195088406229965,1.8091708605910482e-07,1.0788942527659665e-17,1.6201410232225547e-17,2.799015840254763e-07,-15.691338352203454,2,,COMPLETE
153,0.0913412744978764,0.12741663009323032,2026-03-12 16:17:29.609559,2026-03-12 16:17:30.777474,0 days 00:00:01.167915,4.446766425405193,0.7239636481059676,48.819031840548234,52.4424055120538,4.231168010370738,5.390995470822656,4.390428963573739,1.84251618776978e-07,1.507408566558808e-16,2.426127071096088e-17,2.2485034718470363e-07,-17.587243784213243,2,,COMPLETE
154,0.088582428232278,0.1559587931472516,2026-03-12 16:17:30.778469,2026-03-12 16:17:31.942604,0 days 00:00:01.164135,4.4778475040290076,0.6310471544427672,50.419355757274296,53.097893756593145,4.30447573294825,5.303327827925093,4.410875561627365,1.9119840914706532e-07,2.054582025146577e-17,1.6636531310287957e-18,7.765965362010221e-08,-13.884118684695022,2,,COMPLETE
155,0.06452287405006799,0.4471353758368981,2026-03-12 16:17:31.943639,2026-03-12 16:17:33.875838,0 days 00:00:01.932199,4.384016154539962,0.5249189876232664,47.173152776202095,53.665194057272274,4.398429878460175,5.1762475771856735,4.383630686853201,2.1697632560309568e-07,3.518948661324025e-18,4.696996894985871e-16,2.3787380806164946e-08,-16.992915843889964,2,,COMPLETE
156,0.010784594401080311,0.2200022795836058,2026-03-12 16:17:33.876835,2026-03-12 16:17:34.971728,0 days 00:00:01.094893,4.331266015745508,0.6613390272594899,48.208394500029605,54.07799342787163,4.384433104102663,5.376233320648727,4.295152149538526,1.8091708605910482e-07,1.0788942527659665e-17,4.212179063424113e-16,1.4427329345087266e-08,-16.361481575256875,2,,COMPLETE
